receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,ferry,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,stuttgart,Stuttgart,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,tram_metro,63,38,0,6,19,0,0,60.3
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,bus,328,143,0,102,83,0,0,43.6
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,suburban,18,13,0,5,0,0,0,72.2
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,regional,12,8,0,3,1,0,0,66.7
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,long_distance,4,4,0,0,0,0,0,100.0
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,ferry,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,duesseldorf,Düsseldorf,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,bonn,Bonn,tram_metro,36,4,0,6,26,0,0,11.1
2026-09-06T09:46:48.643859+00:00,bonn,Bonn,bus,194,51,0,9,134,0,0,26.3
2026-09-06T09:46:48.643859+00:00,bonn,Bonn,suburban,8,7,0,1,0,0,0,87.5
